VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas0            Pavarde0                2.00
Vardas1            Pavarde1                2.00
Vardas10           Pavarde10                2.00
Vardas100          Pavarde100                2.00
Vardas101          Pavarde101                2.00
Vardas102          Pavarde102                2.00
Vardas103          Pavarde103                2.00
Vardas104          Pavarde104                2.00
Vardas105          Pavarde105                2.00
Vardas106          Pavarde106                2.00
Vardas107          Pavarde107                2.00
Vardas108          Pavarde108                2.00
Vardas109          Pavarde109                2.00
Vardas11           Pavarde11                2.00
Vardas110          Pavarde110                2.00
Vardas111          Pavarde111                2.00
Vardas112          Pavarde112                2.00
Vardas113          Pavarde113                2.00
Vardas114          Pavarde114                2.00
Vardas115          Pavarde115                2.00
Vardas116          Pavarde116                2.00
Vardas117          Pavarde117                2.00
Vardas118          Pavarde118                2.00
Vardas119          Pavarde119                2.00
Vardas12           Pavarde12                2.00
Vardas120          Pavarde120                2.00
Vardas121          Pavarde121                2.00
Vardas122          Pavarde122                2.00
Vardas123          Pavarde123                2.00
Vardas124          Pavarde124                2.00
Vardas125          Pavarde125                2.00
Vardas126          Pavarde126                2.00
Vardas127          Pavarde127                2.00
Vardas128          Pavarde128                2.00
Vardas129          Pavarde129                2.00
Vardas13           Pavarde13                2.00
Vardas130          Pavarde130                2.00
Vardas131          Pavarde131                2.00
Vardas132          Pavarde132                2.00
Vardas133          Pavarde133                2.00
Vardas134          Pavarde134                2.00
Vardas135          Pavarde135                2.00
Vardas136          Pavarde136                2.00
Vardas137          Pavarde137                2.00
Vardas138          Pavarde138                2.00
Vardas139          Pavarde139                2.00
Vardas14           Pavarde14                2.00
Vardas140          Pavarde140                2.00
Vardas141          Pavarde141                2.00
Vardas142          Pavarde142                2.00
Vardas143          Pavarde143                2.00
Vardas144          Pavarde144                2.00
Vardas145          Pavarde145                2.00
Vardas146          Pavarde146                2.00
Vardas147          Pavarde147                2.00
Vardas148          Pavarde148                2.00
Vardas149          Pavarde149                2.00
Vardas15           Pavarde15                2.00
Vardas150          Pavarde150                2.00
Vardas151          Pavarde151                2.00
Vardas152          Pavarde152                2.00
Vardas153          Pavarde153                2.00
Vardas154          Pavarde154                2.00
Vardas155          Pavarde155                2.00
Vardas156          Pavarde156                2.00
Vardas157          Pavarde157                2.00
Vardas158          Pavarde158                2.00
Vardas159          Pavarde159                2.00
Vardas16           Pavarde16                2.00
Vardas160          Pavarde160                2.00
Vardas161          Pavarde161                2.00
Vardas162          Pavarde162                2.00
Vardas163          Pavarde163                2.00
Vardas164          Pavarde164                2.00
Vardas165          Pavarde165                2.00
Vardas166          Pavarde166                2.00
Vardas167          Pavarde167                2.00
Vardas168          Pavarde168                2.00
Vardas169          Pavarde169                2.00
Vardas17           Pavarde17                2.00
Vardas170          Pavarde170                2.00
Vardas171          Pavarde171                2.00
Vardas172          Pavarde172                2.00
Vardas173          Pavarde173                2.00
Vardas174          Pavarde174                2.00
Vardas175          Pavarde175                2.00
Vardas176          Pavarde176                2.00
Vardas177          Pavarde177                2.00
Vardas178          Pavarde178                2.00
Vardas179          Pavarde179                2.00
Vardas18           Pavarde18                2.00
Vardas180          Pavarde180                2.00
Vardas181          Pavarde181                2.00
Vardas182          Pavarde182                2.00
Vardas183          Pavarde183                2.00
Vardas184          Pavarde184                2.00
Vardas185          Pavarde185                2.00
Vardas186          Pavarde186                2.00
Vardas187          Pavarde187                2.00
Vardas188          Pavarde188                2.00
Vardas189          Pavarde189                2.00
Vardas19           Pavarde19                2.00
Vardas190          Pavarde190                2.00
Vardas191          Pavarde191                2.00
Vardas192          Pavarde192                2.00
Vardas193          Pavarde193                2.00
Vardas194          Pavarde194                2.00
