VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas1            Pavarde1                5.00
Vardas3            Pavarde3                5.00
Vardas5            Pavarde5                5.00
Vardas7            Pavarde7                5.00
Vardas9            Pavarde9                5.00
Vardas11           Pavarde11                5.00
Vardas13           Pavarde13                5.00
Vardas15           Pavarde15                5.00
Vardas17           Pavarde17                5.00
Vardas19           Pavarde19                5.00
Vardas21           Pavarde21                5.00
Vardas23           Pavarde23                5.00
Vardas25           Pavarde25                5.00
Vardas27           Pavarde27                5.00
Vardas29           Pavarde29                5.00
Vardas31           Pavarde31                5.00
Vardas33           Pavarde33                5.00
Vardas35           Pavarde35                5.00
Vardas37           Pavarde37                5.00
Vardas39           Pavarde39                5.00
Vardas41           Pavarde41                5.00
Vardas43           Pavarde43                5.00
Vardas45           Pavarde45                5.00
Vardas47           Pavarde47                5.00
Vardas49           Pavarde49                5.00
Vardas51           Pavarde51                5.00
Vardas53           Pavarde53                5.00
Vardas55           Pavarde55                5.00
Vardas57           Pavarde57                5.00
Vardas59           Pavarde59                5.00
Vardas61           Pavarde61                5.00
Vardas63           Pavarde63                5.00
Vardas65           Pavarde65                5.00
Vardas67           Pavarde67                5.00
Vardas69           Pavarde69                5.00
Vardas71           Pavarde71                5.00
Vardas73           Pavarde73                5.00
Vardas75           Pavarde75                5.00
Vardas77           Pavarde77                5.00
Vardas79           Pavarde79                5.00
Vardas81           Pavarde81                5.00
Vardas83           Pavarde83                5.00
Vardas85           Pavarde85                5.00
Vardas87           Pavarde87                5.00
Vardas89           Pavarde89                5.00
Vardas91           Pavarde91                5.00
Vardas93           Pavarde93                5.00
Vardas95           Pavarde95                5.00
Vardas97           Pavarde97                5.00
Vardas99           Pavarde99                5.00
Vardas101          Pavarde101                5.00
Vardas103          Pavarde103                5.00
Vardas105          Pavarde105                5.00
Vardas107          Pavarde107                5.00
Vardas109          Pavarde109                5.00
Vardas111          Pavarde111                5.00
Vardas113          Pavarde113                5.00
Vardas115          Pavarde115                5.00
Vardas117          Pavarde117                5.00
Vardas119          Pavarde119                5.00
Vardas121          Pavarde121                5.00
Vardas123          Pavarde123                5.00
Vardas125          Pavarde125                5.00
