VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas0            Pavarde0                5.00
Vardas1            Pavarde1                5.00
Vardas2            Pavarde2                5.00
Vardas3            Pavarde3                5.00
Vardas4            Pavarde4                5.00
Vardas5            Pavarde5                5.00
Vardas6            Pavarde6                5.00
Vardas7            Pavarde7                5.00
Vardas8            Pavarde8                5.00
Vardas9            Pavarde9                5.00
Vardas10           Pavarde10                5.00
Vardas11           Pavarde11                5.00
Vardas12           Pavarde12                5.00
Vardas13           Pavarde13                5.00
Vardas14           Pavarde14                5.00
Vardas15           Pavarde15                5.00
Vardas16           Pavarde16                5.00
Vardas17           Pavarde17                5.00
Vardas18           Pavarde18                5.00
Vardas19           Pavarde19                5.00
Vardas20           Pavarde20                5.00
Vardas21           Pavarde21                5.00
Vardas22           Pavarde22                5.00
Vardas23           Pavarde23                5.00
Vardas24           Pavarde24                5.00
Vardas25           Pavarde25                5.00
Vardas26           Pavarde26                5.00
Vardas27           Pavarde27                5.00
Vardas28           Pavarde28                5.00
Vardas29           Pavarde29                5.00
Vardas30           Pavarde30                5.00
Vardas31           Pavarde31                5.00
Vardas32           Pavarde32                5.00
Vardas33           Pavarde33                5.00
Vardas34           Pavarde34                5.00
Vardas35           Pavarde35                5.00
Vardas36           Pavarde36                5.00
Vardas37           Pavarde37                5.00
Vardas38           Pavarde38                5.00
Vardas39           Pavarde39                5.00
Vardas40           Pavarde40                5.00
Vardas41           Pavarde41                5.00
Vardas42           Pavarde42                5.00
Vardas43           Pavarde43                5.00
Vardas44           Pavarde44                5.00
Vardas45           Pavarde45                5.00
Vardas46           Pavarde46                5.00
Vardas47           Pavarde47                5.00
Vardas48           Pavarde48                5.00
Vardas49           Pavarde49                5.00
Vardas50           Pavarde50                5.00
Vardas51           Pavarde51                5.00
Vardas52           Pavarde52                5.00
Vardas53           Pavarde53                5.00
Vardas54           Pavarde54                5.00
Vardas55           Pavarde55                5.00
Vardas56           Pavarde56                5.00
Vardas57           Pavarde57                5.00
Vardas58           Pavarde58                5.00
Vardas59           Pavarde59                5.00
Vardas60           Pavarde60                5.00
Vardas61           Pavarde61                5.00
Vardas62           Pavarde62                5.00
Vardas63           Pavarde63                5.00
Vardas64           Pavarde64                5.00
Vardas65           Pavarde65                5.00
Vardas66           Pavarde66                5.00
Vardas67           Pavarde67                5.00
Vardas68           Pavarde68                5.00
Vardas69           Pavarde69                5.00
Vardas70           Pavarde70                5.00
Vardas71           Pavarde71                5.00
Vardas72           Pavarde72                5.00
Vardas73           Pavarde73                5.00
Vardas74           Pavarde74                5.00
Vardas75           Pavarde75                5.00
Vardas76           Pavarde76                5.00
Vardas77           Pavarde77                5.00
Vardas78           Pavarde78                5.00
Vardas79           Pavarde79                5.00
Vardas80           Pavarde80                5.00
Vardas81           Pavarde81                5.00
Vardas82           Pavarde82                5.00
Vardas83           Pavarde83                5.00
Vardas84           Pavarde84                5.00
Vardas85           Pavarde85                5.00
Vardas86           Pavarde86                5.00
Vardas87           Pavarde87                5.00
Vardas88           Pavarde88                5.00
Vardas89           Pavarde89                5.00
Vardas90           Pavarde90                5.00
Vardas91           Pavarde91                5.00
Vardas92           Pavarde92                5.00
Vardas93           Pavarde93                5.00
Vardas94           Pavarde94                5.00
Vardas95           Pavarde95                5.00
Vardas96           Pavarde96                5.00
Vardas97           Pavarde97                5.00
Vardas98           Pavarde98                5.00
Vardas99           Pavarde99                5.00
Vardas100          Pavarde100                5.00
Vardas101          Pavarde101                5.00
Vardas102          Pavarde102                5.00
Vardas103          Pavarde103                5.00
Vardas104          Pavarde104                5.00
Vardas105          Pavarde105                5.00
Vardas106          Pavarde106                5.00
Vardas107          Pavarde107                5.00
Vardas108          Pavarde108                5.00
Vardas109          Pavarde109                5.00
