VardasPavarde   Galutinis (Vid.)    Galutinis (Med.)    
----------------------------------------------------------
Vardas7150         Pavarde7150                5.00
Vardas7152         Pavarde7152                5.00
Vardas7154         Pavarde7154                5.00
Vardas7156         Pavarde7156                5.00
Vardas7158         Pavarde7158                5.00
Vardas7160         Pavarde7160                5.00
Vardas7162         Pavarde7162                5.00
Vardas7164         Pavarde7164                5.00
Vardas7166         Pavarde7166                5.00
Vardas7168         Pavarde7168                5.00
Vardas7170         Pavarde7170                5.00
Vardas7172         Pavarde7172                5.00
Vardas7174         Pavarde7174                5.00
Vardas7176         Pavarde7176                5.00
Vardas7178         Pavarde7178                5.00
Vardas7180         Pavarde7180                5.00
Vardas7182         Pavarde7182                5.00
Vardas7184         Pavarde7184                5.00
Vardas7186         Pavarde7186                5.00
Vardas7188         Pavarde7188                5.00
Vardas7190         Pavarde7190                5.00
Vardas7192         Pavarde7192                5.00
Vardas7194         Pavarde7194                5.00
Vardas7196         Pavarde7196                5.00
Vardas7198         Pavarde7198                5.00
Vardas7200         Pavarde7200                5.00
Vardas7202         Pavarde7202                5.00
Vardas7204         Pavarde7204                5.00
Vardas7206         Pavarde7206                5.00
Vardas7208         Pavarde7208                5.00
Vardas7210         Pavarde7210                5.00
Vardas7212         Pavarde7212                5.00
Vardas7214         Pavarde7214                5.00
Vardas7216         Pavarde7216                5.00
Vardas7218         Pavarde7218                5.00
Vardas7220         Pavarde7220                5.00
Vardas7222         Pavarde7222                5.00
Vardas7224         Pavarde7224                5.00
Vardas7226         Pavarde7226                5.00
Vardas7228         Pavarde7228                5.00
Vardas7230         Pavarde7230                5.00
Vardas7232         Pavarde7232                5.00
Vardas7234         Pavarde7234                5.00
Vardas7236         Pavarde7236                5.00
Vardas7238         Pavarde7238                5.00
Vardas7240         Pavarde7240                5.00
Vardas7242         Pavarde7242                5.00
Vardas7244         Pavarde7244                5.00
Vardas7246         Pavarde7246                5.00
Vardas7248         Pavarde7248                5.00
Vardas7250         Pavarde7250                5.00
Vardas7252         Pavarde7252                5.00
Vardas7254         Pavarde7254                5.00
Vardas7256         Pavarde7256                5.00
Vardas7258         Pavarde7258                5.00
Vardas7260         Pavarde7260                5.00
Vardas7262         Pavarde7262                5.00
Vardas7264         Pavarde7264                5.00
Vardas7266         Pavarde7266                5.00
Vardas7268         Pavarde7268                5.00
Vardas7270         Pavarde7270                5.00
Vardas7272         Pavarde7272                5.00
Vardas7274         Pavarde7274                5.00
Vardas7276         Pavarde7276                5.00
Vardas7278         Pavarde7278                5.00
Vardas7280         Pavarde7280                5.00
Vardas7282         Pavarde7282                5.00
Vardas7284         Pavarde7284                5.00
Vardas7286         Pavarde7286                5.00
Vardas7288         Pavarde7288                5.00
Vardas7290         Pavarde7290                5.00
Vardas7292         Pavarde7292                5.00
Vardas7294         Pavarde7294                5.00
Vardas7296         Pavarde7296                5.00
Vardas7298         Pavarde7298                5.00
Vardas7300         Pavarde7300                5.00
Vardas7302         Pavarde7302                5.00
Vardas7304         Pavarde7304                5.00
Vardas7306         Pavarde7306                5.00
Vardas7308         Pavarde7308                5.00
Vardas7310         Pavarde7310                5.00
Vardas7312         Pavarde7312                5.00
Vardas7314         Pavarde7314                5.00
Vardas7316         Pavarde7316                5.00
Vardas7318         Pavarde7318                5.00
Vardas7320         Pavarde7320                5.00
Vardas7322         Pavarde7322                5.00
Vardas7324         Pavarde7324                5.00
Vardas7326         Pavarde7326                5.00
Vardas7328         Pavarde7328                5.00
Vardas7330         Pavarde7330                5.00
Vardas7332         Pavarde7332                5.00
Vardas7334         Pavarde7334                5.00
Vardas7336         Pavarde7336                5.00
Vardas7338         Pavarde7338                5.00
Vardas7340         Pavarde7340                5.00
Vardas7342         Pavarde7342                5.00
Vardas7344         Pavarde7344                5.00
Vardas7346         Pavarde7346                5.00
Vardas7348         Pavarde7348                5.00
Vardas7350         Pavarde7350                5.00
Vardas7352         Pavarde7352                5.00
Vardas7354         Pavarde7354                5.00
Vardas7356         Pavarde7356                5.00
Vardas7358         Pavarde7358                5.00
Vardas7360         Pavarde7360                5.00
Vardas7362         Pavarde7362                5.00
Vardas7364         Pavarde7364                5.00
Vardas7366         Pavarde7366                5.00
Vardas7368         Pavarde7368                5.00
Vardas7370         Pavarde7370                5.00
Vardas7372         Pavarde7372                5.00
Vardas7374         Pavarde7374                5.00
Vardas7376         Pavarde7376                5.00
Vardas7378         Pavarde7378                5.00
Vardas7380         Pavarde7380                5.00
Vardas7382         Pavarde7382                5.00
Vardas7384         Pavarde7384                5.00
Vardas7386         Pavarde7386                5.00
Vardas7388         Pavarde7388                5.00
Vardas7390         Pavarde7390                5.00
Vardas7392         Pavarde7392                5.00
Vardas7394         Pavarde7394                5.00
Vardas7396         Pavarde7396                5.00
Vardas7398         Pavarde7398                5.00
Vardas7400         Pavarde7400                5.00
Vardas7402         Pavarde7402                5.00
Vardas7404         Pavarde7404                5.00
Vardas7406         Pavarde7406                5.00
Vardas7408         Pavarde7408                5.00
Vardas7410         Pavarde7410                5.00
Vardas7412         Pavarde7412                5.00
Vardas7414         Pavarde7414                5.00
Vardas7416         Pavarde7416                5.00
